id,citation_counts
1604.03964,8
1604.03998,5
1604.04000,19
1604.04061,0
1604.04099,22
1604.04108,7
1604.04170,25
1604.04181,16
1604.04215,11
1604.04221,6
1604.04286,28
1604.04292,26
1604.04294,6
1604.04450,0
1604.04468,14
1604.04502,46
1604.04510,8
1604.04522,5
1604.04617,9
1604.04662,1
1604.04702,71
1604.04703,0
1604.04830,12
1604.04857,32
1604.04919,15
1604.04990,14
1604.05003,25
1604.05025,5
1604.05051,8
1604.05092,13
1604.05181,2
1604.05183,3
1604.05195,50
1604.05291,18
1604.05308,27
1604.05313,2
1604.05325,21
1604.05326,15
1604.05327,39
1604.05330,12
1604.05373,44
1604.05400,2
1604.05447,0
1604.05452,13
1604.05520,26
1604.05595,7
1604.05629,9
1604.05630,27
1604.05635,9
1604.05675,0
1604.05705,5
1604.05711,17
1604.05820,6
1604.05890,0
1604.06004,0
1604.06007,23
1604.06025,2
1604.06048,11
1604.06060,13
1604.06080,8
1604.06085,56
1604.06088,17
1604.06090,67
1604.06108,47
1604.06125,3
1604.06184,25
1604.06186,6
1604.06205,17
1604.06244,6
1604.06257,6
1604.06273,19
1604.06313,17
1604.06321,2
1604.06331,2
1604.06354,17
1604.06381,6
1604.06396,4
1604.06437,12
1604.06439,55
1604.06442,4
1604.06457,0
1604.06465,71
1604.06527,197
1604.06544,4
1604.06631,38
1604.06647,9
1604.06704,55
1604.06786,15
1604.06808,58
1604.06809,18
1604.06810,0
1604.06857,7
1604.06868,0
1604.06891,2
1604.06909,34
1604.06990,4
1604.06998,18
1604.07172,1
1604.07197,20
1604.07263,17
1604.07288,5
1604.07310,16
1604.07314,27
1604.07344,0
1604.07357,1
1604.07383,53
1604.07416,40
1604.07448,8
1604.07571,20
1604.07765,10
1604.07818,1114
1604.07827,8
1604.07830,11
1604.07837,8
1604.07841,55
1604.07843,24
1604.07851,31
1604.07860,30
1604.07987,25
1604.08027,7
1604.08032,3
1604.08042,69
1604.08054,69
1604.08064,0
1604.08203,18
1604.08209,22
1604.08212,28
1604.08217,7
1604.08222,5
1604.08282,11
1604.08327,11
1604.08366,71
1604.08385,5
1604.08413,11
1604.08422,17
1604.08512,43
1604.08548,10
1604.08602,60
1604.08617,40
1604.08638,82
1604.08653,28
1604.08711,10
1604.08741,4
1604.08765,8
1604.08786,23
1604.08812,72
1604.08871,22
1604.08905,10
1604.08913,42
1604.08915,43
1604.08924,7
1605.00005,12
1605.00007,11
1605.00010,23
1605.00027,2
1605.00036,12
1605.00059,18
1605.00077,17
1605.00103,5
1605.00146,3
1605.00159,0
1605.00182,13
1605.00183,46
1605.00294,53
1605.00334,33
1605.00341,32
1605.00385,11
1605.00403,4
1605.00454,66
1605.00491,7
1605.00518,30
1605.00543,36
1605.00563,53
1605.00595,35
1605.00603,8
1605.00636,5
1605.00651,14
1605.00656,43
1605.00697,10
1605.00720,6
1605.00750,18
1605.00754,0
1605.00759,4
1605.00843,12
1605.00849,10
1605.00857,15
1605.00881,11
1605.00919,3
1605.00925,27
1605.00964,0
1605.00996,64
1605.01008,17
1605.01025,13
1605.01055,10
1605.01061,71
1605.01070,49
1605.01075,60
1605.01093,23
1605.01121,32
1605.01122,40
1605.01181,13
1605.01193,11
1605.01386,29
1605.01404,38
1605.01407,15
1605.01411,4
1605.01446,40
1605.01456,18
1605.01472,14
1605.01545,12
1605.01581,11
1605.01582,1
1605.01603,43
1605.01611,5
1605.01632,24
1605.01633,6
1605.01653,14
1605.01726,14
1605.01729,10
1605.01732,14
1605.01841,2
1605.01858,55
1605.01904,2
1605.01907,0
1605.01911,37
1605.01932,36
1605.01933,1
1605.01934,5
1605.01967,8
1605.02030,22
1605.02056,8
1605.02061,4
1605.02173,84
1605.02193,16
1605.02236,72
1605.02292,0
1605.02313,24
1605.02388,3
1605.02391,128
1605.02413,24
1605.02481,8
1605.02519,47
1605.02553,5
1605.02591,25
1605.02608,8
1605.02610,51
1605.02662,40
1605.02667,18
1605.02675,35
1605.02745,8
1605.02748,27
1605.02751,12
1605.02785,3
1605.02803,2
1605.02804,2
1605.02835,20
1605.02922,4
1605.02925,9
1605.03098,29
1605.03165,3
1605.03173,19
1605.03207,7
1605.03231,19
1605.03245,1
1605.03248,29
1605.03260,8
1605.03279,4
1605.03288,3
1605.03314,22
1605.03361,12
1605.03363,3
1605.03521,3
1605.03550,30
1605.03552,28
1605.03554,54
1605.03630,6
1605.03740,11
1605.03748,1
1605.03790,1
1605.03879,31
1605.03906,23
1605.03920,15
1605.03948,1
1605.03959,55
1605.03961,47
1605.03974,30
1605.03997,29
1605.04043,2
1605.04052,34
1605.04092,0
1605.04143,16
1605.04173,52
1605.04175,38
1605.04224,34
1605.04258,17
1605.04268,4
1605.04290,6
1605.04335,16
1605.04351,0
1605.04490,66
1605.04526,20
1605.04554,18
1605.04595,10
1605.04620,1
1605.04650,8
1605.04666,8
1605.04668,12
1605.04670,13
1605.04705,4
1605.04712,12
1605.04758,11
1605.04783,4
1605.04791,17
1605.04828,10
1605.04881,23
1605.04884,123
1605.04888,19
1605.04911,29
1605.04921,7
1605.04967,6
1605.05006,33
1605.05105,19
1605.05133,12
1605.05165,3
1605.05256,26
1605.05288,11
1605.05304,18
1605.05311,16
1605.05344,32
1605.05451,11
1605.05483,34
1605.05484,5
1605.05559,11
1605.05565,95
1605.05597,14
1605.05635,7
1605.05638,15
1605.05678,2
1605.05730,34
1605.05790,6
1605.05813,5
1605.05869,1
1605.05882,8
1605.05911,8
1605.05945,24
1605.05957,12
1605.05987,29
1605.05992,93
1605.05999,7
1605.06039,15
1605.06075,23
1605.06078,14
1605.06080,5
1605.06098,485
1605.06100,14
1605.06111,94
1605.06120,128
1605.06128,5
1605.06131,29
1605.06166,17
1605.06270,5
1605.06299,30
1605.06346,10
1605.06351,43
1605.06366,0
1605.06383,13
1605.06418,11
1605.06456,10
1605.06501,44
1605.06526,12
1605.06528,18
1605.06531,115
1605.06600,7
1605.06725,1
1605.06753,15
1605.06761,0
1605.06784,5
1605.06793,10
1605.06813,0
1605.06829,6
1605.06867,3
1605.06929,3
1605.06991,9
1605.07015,17
1605.07021,19
1605.07029,29
1605.07043,10
1605.07128,2
1605.07165,5
1605.07181,21
1605.07207,10
1605.07210,19
1605.07248,18
1605.07368,7
1605.07402,69
1605.07510,8
1605.07517,1
1605.07525,9
1605.07547,5
1605.07560,2
1605.07561,0
1605.07615,73
1605.07622,7
1605.07625,28
1605.07631,33
1605.07636,38
1605.07639,59
1605.07707,0
1605.07768,17
1605.07836,6
1605.07848,7
1605.07849,3
1605.07872,1
1605.07928,5
1605.07954,26
1605.07961,1
1605.08045,22
1605.08052,34
1605.08060,9
1605.08072,193
1605.08075,2
1605.08087,68
1605.08092,16
1605.08116,20
1605.08118,8
1605.08124,22
1605.08129,21
1605.08208,8
